,AMROBK,BACR-Bank,BNP,BYLAN,CMZB,CSGAG,DB,DZBK,ERGBA,HSBC,HSBC-HSBCBank,INTNED,LBW,SANPAO,SANTNDR,SEB,SOCGEN,UBS,BACF-BankNA,C,CRDSUI-USAInc,GS,JPM,MWD,RY,MIZUHBA,NOMURA,Date
165,0.0,0.21400339104029087,0.21100538738391864,0.3480772523851464,0.16036569154238256,0.07254514971885538,0.319656531533985,0.03365856849887437,0.048042699061498384,0.07859384058451915,0.30993588435231956,0.2643129378164982,0.2917745215084816,0.126209282996265,0.028063987616808166,0.2715280468499942,0.22171814537353465,0.08785131586702938,0.2459811244796508,0.20948947053576744,0.07325842309035285,0.07782824628628322,0.23953925968379075,0.16464589067499819,0.22613322981535788,0.26464597725154393,0.2885932468270141,15-07-19
166,0.0,0.21665749665156941,0.21669130535305536,0.3539751531841623,0.16136468614948687,0.07085303874884465,0.3197718795397456,0.0333885931379648,0.052908857801739054,0.08360899597393848,0.32332106417928597,0.2781314121599761,0.28922944873626216,0.13027980365753258,0.03709070874578491,0.25587499315268,0.2663018970809128,0.13359137031817528,0.24679880481929753,0.2168045008242681,0.07210066008463831,0.07695235547445203,0.2430780783543291,0.1656833957428902,0.2382523302757026,0.26577262666717616,0.2855867540674934,22-07-19
167,0.0,0.2109901487396405,0.22385790972017267,0.35703848015380973,0.15313682195829653,0.07059031965556659,0.3202684230728234,0.03034977840802518,0.06709412582861828,0.0735387306591982,0.3134378074131856,0.2893288200970641,0.3214500709864894,0.1470740726112491,0.027264201919831102,0.26081766683194013,0.27692752215603195,0.14573464615332674,0.261566338552622,0.21583324296676556,0.07793895887199767,0.08132905441434692,0.249098985809511,0.167989219094555,0.24234431435568926,0.27390972901951377,0.2956160246648099,29-07-19
168,0.0,0.2259254457397915,0.23877260758742105,0.3953401070802751,0.15874448172123476,0.06912611065062092,0.335761240535807,0.028334933089999823,0.08701837338309834,0.08556758357549217,0.3242326281169198,0.29749393000007174,0.3198721151953763,0.17775855268243507,0.31780586251877513,0.2799583799293204,0.28845873130821265,0.06994898752010846,0.2779605212129106,0.22743296347129166,0.07763416837855168,0.093926112917454,0.24624597128051956,0.17308313152151536,0.25198969614966243,0.27202646123080804,0.2998732399874928,05-08-19
169,0.0,0.21832634921377414,0.2523139704370096,0.3919854252525595,0.18040604596429188,0.07184275403898968,0.3286524499369205,0.027335629343633424,0.04354930645153388,0.10559426251424262,0.3226645879744798,0.34750186156850266,0.3283014160445118,0.19750128086589214,0.3096963452729826,0.2740609524602726,0.2813945951721739,0.07439817804696194,0.2874863707280855,0.2205905098522137,0.09462279894659577,0.09939558632940876,0.24769031262277502,0.19413515427439418,0.26868388890466705,0.28687728914977556,0.3109267877893903,12-08-19
170,0.0,0.08815584796641945,0.20164992132109485,0.29198532261427623,0.017738101997831903,0.04773786998117845,0.2518426717876602,0.02723431732666872,0.07038232889380767,0.0,0.23644921030031235,0.2738337225742834,0.2441165360513008,0.0042028198832659075,0.0,0.23789710907915523,0.2108801010608588,0.010264766107460892,0.20997815273639406,0.17640342634157988,0.0021422587019241635,0.08770814970590765,0.215606261907316,0.021662685497855525,0.23049595445624907,0.2512501762121477,0.2835952316005174,19-08-19
171,0.0,0.07739408802275165,0.20740008893413545,0.30130694851348244,0.02349485700683858,0.050966620066153344,0.2633172079750202,0.02604109509876846,0.06246431426049827,0.0,0.25554638572831184,0.2625104784392378,0.2546563767943,0.015363845230236099,0.0036944484915909857,0.2541394983110631,0.22481580956206587,0.00961950218846153,0.2259218554738377,0.1935241491142565,0.0,0.09630876564626585,0.2307981359878295,0.024430361705192007,0.25049563308434747,0.25954173502329725,0.29602320256737424,26-08-19
172,0.014891589775680338,0.09043900363571485,0.18885130513332002,0.29333042824807004,0.014984330546629494,0.056911897586561594,0.2750085931303462,0.025822289473181978,0.059955657023147674,0.0,0.26133744130916003,0.2338771839028056,0.25290081910404877,0.02814287015217709,0.0060089385782132404,0.23811263780741102,0.2257435673164325,0.00986496241179973,0.22484590271797605,0.19621422039462694,0.0,0.08544571090519945,0.2137372020147779,0.058505897520314716,0.23226365363020993,0.2395706093579972,0.2726089633189425,02-09-19
173,0.014752587815553593,0.0848701540523052,0.20431984566134517,0.2921419273512701,0.009268562671220604,0.0580487741691557,0.270170285163251,0.026199047674793228,0.061079605512452124,0.0,0.25151031519779377,0.2606808363901604,0.24681916060423376,0.02431506151177184,0.009082958611575744,0.23739599089836838,0.22239816570550644,0.0027321736550690247,0.2274886814883432,0.19275885663689907,0.0,0.10778988265636899,0.2114904640864583,0.04017271261095911,0.2291504764278741,0.23979913118959478,0.27518363177074195,09-09-19
174,0.0160832435147897,0.08437169818661171,0.19556853762974996,0.29269859919084606,0.013732590290919404,0.06289010884549413,0.26775428711558064,0.025433041555530975,0.053367553862537505,0.011856857779687471,0.24803506754467103,0.26010102881693425,0.24674287826694424,0.01773838485668394,0.012276461548195967,0.23087039933778664,0.22425395211499158,0.019395708963334455,0.22381163161199297,0.19265322818023367,0.0,0.09596108629835563,0.2113809851105023,0.04754858080831392,0.22823783634362885,0.2342160986677735,0.26933193458080695,16-09-19
175,0.0,0.1020471425843725,0.27657087151560444,0.33144495894248976,0.19199288480903862,0.11230678084382752,0.3408535256188862,0.030625755708270516,0.0803570745764013,0.17576620410029078,0.29823304514036075,0.33636790111710835,0.32505577561311255,0.15341958205738881,0.18314915467780885,0.30121932064101503,0.2772039344929464,0.08697187623168506,0.28316158203752423,0.2421952305677486,0.14101655279334338,0.24313513603282738,0.3021902970216182,0.23613009907467875,0.3077390631702486,0.3169335663026676,0.3414738180650643,23-09-19
176,0.0,0.10410095077491845,0.26545326195851227,0.33195281497635737,0.17385219492387322,0.11164406174265418,0.33676689798287274,0.0338688327312017,0.07272197426754952,0.1495180309196529,0.28804446148058865,0.31316813503052876,0.32529421508277323,0.10846306342976347,0.29600231720449266,0.3020228250559566,0.27617503270374827,0.0874980121798094,0.2841796942378647,0.20847907944766098,0.12032379746060114,0.17272398503277991,0.3048208835148321,0.3653942691802595,0.3107736382453065,0.3061161082035251,0.3249662232290517,30-09-19
177,0.0,0.1007740817722148,0.2722991347567508,0.3520459786370267,0.17152063366455622,0.21502277649337356,0.3583311348197937,0.2032164897088761,0.08594904864789796,0.16470087104660813,0.2899913543461443,0.3243356369327116,0.33959315577878074,0.12442492637414325,0.3040314155803401,0.3156413835784328,0.30025669950204814,0.09060746364298132,0.30342281552679656,0.22295522241277638,0.11724171320426978,0.17719256226426092,0.31150897537033945,0.36547736751749543,0.32727984924996617,0.3151959027189809,0.3424456577878217,07-10-19
178,0.004881990388501656,0.09115886390750247,0.288953658693833,0.3665941638519406,0.16590619450097288,0.26498804502507955,0.37335006023116485,0.22884639963870496,0.09479176417809451,0.1603496249907682,0.2891742669631159,0.3472560828188387,0.3575170832793745,0.12606473167008148,0.30058358945408636,0.3285763928053219,0.3091965879228699,0.10466852746212707,0.3233022340498104,0.22532345915890778,0.11980032851428848,0.19703560876242163,0.3279557323474344,0.3468391253908018,0.34834970852672303,0.33075071543862467,0.360703621247874,14-10-19
179,0.0,0.09268192090331964,0.262617284440392,0.3634334433040408,0.1622486594157004,0.26471309849866337,0.36236204379166187,0.24174918460754838,0.09563047337473032,0.11648956097485644,0.26727830687110316,0.32975308638751094,0.3600166940554695,0.12258804394356204,0.296683302273248,0.31710506264059835,0.30445283567994985,0.09639613967735272,0.31430662004337,0.22389829213779372,0.11148834197215583,0.20848993596616783,0.3255905514689328,0.3489812346601321,0.35155275917846357,0.3229625229033419,0.3594313782323052,21-10-19
180,0.0,0.09334758863548309,0.2609870354763204,0.36882104079848027,0.1692499586898353,0.2877872876921496,0.36808915707473233,0.25505173062249603,0.0961015813425831,0.1285363521472038,0.27232307519435245,0.3316034429059875,0.35957555064767166,0.12144645806305968,0.30044913219715663,0.3298489507442887,0.3090958360801987,0.09545199028969407,0.3208240068077627,0.23174233868451052,0.1192634523298948,0.2459144207814653,0.3320624162243019,0.3518059757738413,0.36409973005975577,0.3247390367541707,0.36743221164247536,28-10-19
181,0.0,0.09477170060314294,0.24792985035147866,0.3570197172136881,0.16714024362420032,0.28486038223145527,0.3600983562446162,0.24620236416233285,0.09751410394837556,0.11962766044405165,0.26640785338381723,0.3103456539048643,0.3641450877858776,0.1201863064291005,0.2932562611020368,0.3418084180620338,0.30278826855376273,0.08463349067974783,0.30220385120394144,0.20956508602828933,0.12129832466546471,0.231573161612257,0.3217054994698252,0.3491313555601018,0.35612470698731385,0.3132793965615586,0.35667042134461835,04-11-19
182,0.0,0.09819885443280786,0.268688527049078,0.3556834146276957,0.1666451173590489,0.2886031760664931,0.3511436798619206,0.26045473911959616,0.12718454402948248,0.11796421868925318,0.2643225969318811,0.31446675364677207,0.35751882284012465,0.1190340041428579,0.29127230890591027,0.34386077033287443,0.31136674540512244,0.07444312070107845,0.3144001809428007,0.2065837636706793,0.11886020637557239,0.2368255897708734,0.31402208586873914,0.3459930067416361,0.3552909910077753,0.3250713019667869,0.3560367056406934,11-11-19
183,0.0,0.09534576716897493,0.2640614161756702,0.34443697037512694,0.17033496353831012,0.2960453201131221,0.334797178298277,0.244451513438827,0.1312290798614547,0.12077526225461632,0.25663127239990663,0.3069674127517932,0.35278696937158777,0.14025074456691655,0.29358017624467425,0.35168557583876425,0.32075144495054164,0.07894512016929632,0.30483587277166657,0.20569640702177594,0.1205120943968939,0.22859136224581908,0.3152826913131403,0.34703006061770364,0.33900572481413344,0.3179236671747396,0.3526706029681558,18-11-19
184,0.0,0.07680514398424915,0.2589430674753752,0.33395389826478067,0.172943815054508,0.286710998812468,0.3172658280830968,0.24493752522868906,0.13182773678309184,0.12398597435481126,0.24870813400660777,0.28218235349555737,0.3440933128962428,0.13514874246814929,0.3065284492746757,0.33596058485128805,0.30704240259539195,0.039443270171671,0.2917256610288622,0.18876115684974948,0.12219137412586492,0.19736608840330183,0.30400600126247357,0.34847377953460434,0.3330182964518033,0.3067785489755711,0.3438674338455962,25-11-19
185,0.0,0.07400872541745339,0.25567298861209625,0.3306496378980761,0.18975751328667975,0.2793820797214816,0.3164342637104349,0.24310623572164713,0.13468830448536645,0.1351556100838091,0.2458204478782099,0.28032027977840357,0.3446813523176963,0.13272182729855467,0.30991016242089703,0.3308452714076412,0.3075329799033849,0.039862056033067056,0.2875134234718066,0.18453521315968774,0.12484507696276564,0.1981558916676303,0.304681178950895,0.3496924853356224,0.3303347553833743,0.30512508683123535,0.343850962422259,02-12-19
186,0.0,0.0758306533318092,0.2557601520205401,0.32406073680611114,0.19590691521242504,0.2814746625823927,0.30508511377693126,0.2465074616983768,0.11707253631918506,0.13392880280704,0.24261600541274145,0.2755351377457821,0.3394804733102307,0.1330521531646252,0.31041623691498066,0.3352222079846107,0.31050495090475017,0.031502006908115714,0.2766759204828641,0.18409144779294911,0.12694797307818126,0.19715710592839508,0.3078620154506408,0.35032749483681225,0.32972619292989513,0.3082003670535233,0.34880407302318034,09-12-19
187,0.005144688338935049,0.07316058459645976,0.241629385752296,0.32076269264037666,0.242576070036366,0.28576593736065364,0.28045736420113104,0.23202729001169448,0.1172769796277245,0.1305270383367986,0.24003183430571318,0.2642727858980459,0.325055085923065,0.12452221889579869,0.296384190279848,0.3307764286468341,0.30569500922870035,0.0531603238089636,0.28811500306765603,0.17672575125745843,0.12492652386953479,0.19797727655833752,0.2985686223690181,0.32089135122672807,0.3131530624038643,0.29816890754583036,0.3357425174147188,16-12-19
188,0.0071026037299936765,0.06043468876541802,0.21110258929154446,0.30076760494356825,0.2617082375328732,0.27629325250904835,0.25843489750683213,0.21457756852377646,0.08763562780974267,0.12256186687305608,0.22355155046024539,0.2216131920395732,0.2981224377672381,0.1376693576196739,0.2990915047461524,0.3279304710604082,0.2843698721981767,0.0910379485267155,0.27234269915409565,0.15634611460814318,0.12961983436196564,0.17922762214890925,0.2952794226370996,0.33984406505980047,0.2997240544673105,0.26789223047481436,0.32210669907065753,23-12-19
189,0.007158854727449099,0.06586344738863847,0.20402500522102285,0.30061210198375676,0.2739713353998128,0.27832335130565417,0.2647527031432293,0.22145803542310516,0.10906217738827763,0.12319953123416,0.22549540537833382,0.22197136181435487,0.3036427763269604,0.19350744957993535,0.30759160669058655,0.33459628544373654,0.2979748759625289,0.10896011261504687,0.2713612656794078,0.14907151806316676,0.13109753188976903,0.17212778887567415,0.28861502601167194,0.34362422192455544,0.2980580135661549,0.2545602610166886,0.3055412116743722,30-12-19
190,0.007226124761295093,0.0666770471798571,0.19832172682826982,0.3040060990599633,0.2615393081270681,0.2651690426937812,0.26443790418852114,0.223061822538727,0.135854957706056,0.11262193608614039,0.22546432442569644,0.22122448328651273,0.300989559236882,0.23628722349669856,0.3114254843167226,0.36161496413381583,0.30329682504605954,0.14055841948375708,0.26920250967954124,0.15960234190713773,0.1438511401122954,0.17201806341781728,0.29753468103910313,0.34401123857393984,0.3104319243803995,0.2538528677879228,0.31430325257630454,06-01-20
191,0.020687228249941778,0.08782831305034744,0.20001415974461065,0.31477628719526546,0.251704183404405,0.2726942684926519,0.27229611493326605,0.24457396673182819,0.12065222426434499,0.11344220423317254,0.22809267220188265,0.21618979974995053,0.3129562352100053,0.2553108038517449,0.3338824726999635,0.36757366906250477,0.31862550491875447,0.1104303036672814,0.2796571563565418,0.1534612124163017,0.14017329066423606,0.17982370205178488,0.3071748677307208,0.1318309001486677,0.32029462613635223,0.26336464878927807,0.3278930537230495,13-01-20
192,0.0018442229111644303,0.09720326064723227,0.20489798020444333,0.3101555850674522,0.27913228447692523,0.2667771810438343,0.27120855077182093,0.23557751938362545,0.18336858719808913,0.11270545370291307,0.22569326110948223,0.2567904630732993,0.31946327178946177,0.25163289921091997,0.314757550701453,0.3624004503415272,0.31960235855586655,0.10965487440409534,0.26283833911039756,0.14572387762823968,0.1741534868718052,0.18113337374332605,0.3177890777711678,0.09290088313322994,0.3153958946274503,0.2519511906754043,0.3353896127282368,20-01-20
193,0.012290395685789334,0.09766739662858917,0.21283518915898994,0.3164003335585856,0.30204248948186607,0.2640896395146126,0.27331241377606613,0.2425509423956992,0.1802826349658636,0.11753507433091394,0.2404381977822284,0.2669972932008189,0.3243377264465818,0.337605361806042,0.3214407460019707,0.3800018969186189,0.3375782618694185,0.09895513826068457,0.27829261856986504,0.14768242110634355,0.24601241281552963,0.20140626519653734,0.33435138067412357,0.09673407404230133,0.3422975176355348,0.26356589512675554,0.3724853898243267,27-01-20
194,0.0,0.10179697476036018,0.19569095381847076,0.31633856016640227,0.3042531911448397,0.25617826503206903,0.26889493879809473,0.21393385358901476,0.18111413899679038,0.11976199608923165,0.23078298101593264,0.24036259384014566,0.3027215477706994,0.3700713833077745,0.32228020247535044,0.33205343168506407,0.3332951122996578,0.09695662065996331,0.274827998574374,0.12858463580091709,0.3255360129819108,0.1777406019528091,0.2693203588415555,0.10002236176772936,0.3265235859036342,0.25462756648321483,0.32047605994924694,03-02-20
195,0.01171702887141898,0.1040768628667196,0.18537844975223966,0.2970534753697734,0.27900854264279396,0.24277425740460407,0.2404496550950581,0.2113484815980289,0.16868229296640852,0.11836443320065983,0.2315105817471465,0.24363954436890592,0.283339185542138,0.38195553929488185,0.32635162161386305,0.3153467837717897,0.31618352619583623,0.0979539320940371,0.25198129053511803,0.11069732776482602,0.3368481459877452,0.196093559188791,0.2601146250854861,0.10014788214650262,0.3148526175843508,0.25129623186682537,0.3158260200320322,10-02-20
196,0.0,0.07683246686210997,0.1333741722133578,0.2507074360741934,0.0796770268165139,0.19710599818131594,0.19111360919588735,0.170674179546685,0.13238160543500113,0.0,0.2187356728327655,0.18292633247253992,0.2217167348689591,0.07742325624607146,0.010808598862301455,0.23165280336517285,0.2265719901241186,0.010276822090342884,0.20254930630931872,0.11613419259765247,0.003154871184200402,0.13124059316025735,0.20034878506698825,0.0,0.23942024222008934,0.19836080486076763,0.25049907869282895,17-02-20
