,Date,Close,Open,High,Low,Vol.,Change %
1,"Dec 16, 2015",2073.07,"2,046.50","2,076.72","2,042.43",-,1.45%
2,"Dec 17, 2015",2041.89,"2,073.76","2,076.37","2,041.66",-,-1.50%
3,"Dec 18, 2015",2005.55,"2,040.81","2,040.81","2,005.33",-,-1.78%
4,"Dec 21, 2015",2021.15,"2,010.27","2,022.90","2,005.93",-,0.78%
5,"Dec 22, 2015",2038.97,"2,023.15","2,042.74","2,020.49",-,0.88%
6,"Dec 23, 2015",2064.29,"2,042.20","2,064.73","2,042.20",-,1.24%
7,"Dec 24, 2015",2060.99,"2,063.52","2,067.36","2,058.73",-,-0.16%
8,"Dec 28, 2015",2056.5,"2,057.77","2,057.77","2,044.20",-,-0.22%
9,"Dec 29, 2015",2078.36,"2,060.54","2,081.56","2,060.54",-,1.06%
10,"Dec 30, 2015",2063.36,"2,077.34","2,077.34","2,061.97",-,-0.72%
11,"Dec 31, 2015",2043.94,"2,060.59","2,062.54","2,043.62",-,-0.94%
12,"Jan 04, 2016",2012.66,"2,038.20","2,038.20","1,989.68",-,-1.53%
13,"Jan 05, 2016",2016.71,"2,013.78","2,021.94","2,004.17",-,0.20%
14,"Jan 06, 2016",1990.26,"2,011.71","2,011.71","1,979.05",-,-1.31%
15,"Jan 07, 2016",1943.09,"1,985.32","1,985.32","1,938.83",-,-2.37%
16,"Jan 08, 2016",1922.03,"1,945.97","1,960.40","1,918.46",-,-1.08%
17,"Jan 11, 2016",1923.67,"1,926.12","1,935.65","1,901.10",-,0.09%
18,"Jan 12, 2016",1938.68,"1,927.83","1,947.38","1,914.35",-,0.78%
19,"Jan 13, 2016",1890.28,"1,940.34","1,950.33","1,886.41",-,-2.50%
20,"Jan 14, 2016",1921.84,"1,891.68","1,934.47","1,878.93",-,1.67%
21,"Jan 15, 2016",1880.33,"1,916.68","1,916.68","1,857.83",-,-2.16%
22,"Jan 19, 2016",1881.33,"1,888.66","1,901.44","1,864.60",-,0.05%
23,"Jan 20, 2016",1859.33,"1,876.18","1,876.18","1,812.29",-,-1.17%
24,"Jan 21, 2016",1868.99,"1,861.46","1,889.85","1,848.98",-,0.52%
25,"Jan 22, 2016",1906.9,"1,877.40","1,908.85","1,877.40",-,2.03%
26,"Jan 25, 2016",1877.08,"1,906.28","1,906.28","1,875.97",-,-1.56%
27,"Jan 26, 2016",1903.63,"1,878.79","1,906.73","1,878.79",-,1.41%
